,Symbol,2019Q3 Time,2019Q3 Date
63,BF.B,NaN,NaN
64,BIIB,Before Market Open,2019-07-23
65,BK,TAS,2019-07-17
66,BKNG,After Market Close,2019-08-07
67,BKR,TAS,2019-07-31
68,BLK,TAS,2019-07-19
69,BLL,TAS,2019-08-01
70,BMY,TAS,2019-07-25
71,BR,TAS,2019-08-01
72,BRK.B,NaN,NaN
73,BSX,TAS,2019-07-24
74,BWA,TAS,2019-07-25
75,BXP,TAS,2019-07-30
76,C,TAS,2019-07-15
77,CAG,TAS,2019-09-26
78,CAH,NaN,NaN
79,CARR,NaN,NaN
80,CAT,NaN,NaN
81,CB,TAS,2019-07-23
82,CBOE,TAS,2019-08-02
83,CBRE,TAS,2019-08-01
84,CCI,TAS,2019-07-17
85,CCL,NaN,NaN
86,CDNS,TAS,2019-07-22
87,CDW,TAS,2019-07-31
88,CE,TAS,2019-07-22
89,CERN,TAS,2019-07-24
90,CF,TAS,2019-07-31
91,CFG,TAS,2019-07-19
92,CHD,NaN,NaN
93,CHRW,NaN,NaN
94,CHTR,TAS,2019-07-26
95,CI,NaN,NaN
96,CINF,NaN,NaN
97,CL,TAS,2019-07-26
98,CLX,NaN,NaN
99,CMA,TAS,2019-07-17
100,CMCSA,NaN,NaN
101,CME,NaN,NaN
102,CMG,TAS,2019-07-23
103,CMI,TAS,2019-07-30
104,CMS,TAS,2019-07-25
105,CNC,TAS,2019-07-23
106,CNP,NaN,NaN
107,COF,TAS,2019-07-18
108,COG,TAS,2019-07-26
109,COO,TAS,2019-08-29
110,COP,NaN,NaN
111,COST,NaN,NaN
112,COTY,TAS,2019-08-28
113,CPB,TAS,2019-08-30
114,CPRI,NaN,NaN
115,CPRT,TAS,2019-09-04
116,CRM,TAS,2019-08-22
117,CSCO,NaN,NaN
118,CSX,TAS,2019-07-16
119,CTAS,Multi,Multi
120,CTL,NaN,NaN
121,CTSH,TAS,2019-07-31
122,CTVA,Before Market Open,2019-08-01
123,CTXS,NaN,NaN
124,CVS,NaN,NaN
125,CVX,TAS,2019-08-02
126,CXO,NaN,NaN
127,D,NaN,NaN
128,DAL,TAS,2019-07-11
129,DD,NaN,NaN
130,DE,TAS,2019-08-16
131,DFS,NaN,NaN
132,DG,TAS,2019-08-29
133,DGX,TAS,2019-07-23
134,DHI,NaN,NaN
135,DHR,TAS,2019-07-18
136,DIS,Time Not Supplied,2019-08-05
137,DISCA,NaN,NaN
138,DISCK,NaN,NaN
139,DISH,TAS,2019-07-29
140,DLR,NaN,NaN
141,DLTR,TAS,2019-08-29
142,DOV,TAS,2019-07-18
143,DOW,NaN,NaN
144,DRE,NaN,NaN
145,DRI,TAS,2019-09-19
146,DTE,TAS,2019-07-24
147,DUK,NaN,NaN
148,DVA,TAS,2019-07-22
149,DVN,NaN,NaN
150,DXC,NaN,NaN
151,EA,TAS,2019-07-30
152,EBAY,TAS,2019-07-17
153,ECL,NaN,NaN
154,ED,NaN,NaN
155,EFX,NaN,NaN
156,EIX,NaN,NaN
157,EL,TAS,2019-08-19
158,EMN,NaN,NaN
159,EMR,NaN,NaN
160,EOG,NaN,NaN
161,EQIX,NaN,NaN
162,EQR,NaN,NaN
163,ES,NaN,NaN
164,ESS,NaN,NaN
165,ETFC,TAS,2019-07-18
166,ETN,NaN,NaN
167,ETR,TAS,2019-07-31
168,EVRG,NaN,NaN
169,EW,TAS,2019-07-23
170,EXC,NaN,NaN
171,EXPD,NaN,NaN
172,EXPE,NaN,NaN
173,EXR,NaN,NaN
174,F,TAS,2019-07-24
175,FANG,NaN,NaN
176,FAST,TAS,2019-07-11
177,FB,NaN,NaN
178,FBHS,TAS,2019-08-01
179,FCX,NaN,NaN
180,FDX,TAS,2019-09-17
181,FE,TAS,2019-07-23
182,FFIV,NaN,NaN
183,FIS,NaN,NaN
184,FISV,NaN,NaN
185,FITB,NaN,NaN
186,FLIR,NaN,NaN
187,FLS,TAS,2019-07-31
188,FLT,NaN,NaN
189,FMC,NaN,NaN
190,FOX,NaN,NaN
191,FOXA,NaN,NaN
192,FRC,TAS,2019-07-16
193,FRT,NaN,NaN
194,FTI,NaN,NaN
195,FTNT,NaN,NaN
196,FTV,NaN,NaN
197,GD,NaN,NaN
198,GE,Before Market Open,2019-07-31
199,GILD,NaN,NaN
200,GIS,TAS,2019-09-18
201,GL,NaN,NaN
202,GLW,NaN,NaN
203,GM,NaN,NaN
204,GOOG,NaN,NaN
205,GOOGL,After Market Close,2019-07-25
206,GPC,TAS,2019-07-18
207,GPN,NaN,NaN
208,GPS,TAS,2019-08-22
209,GRMN,NaN,NaN
210,GS,Before Market Open,2019-07-16
211,GWW,NaN,NaN
212,HAL,TAS,2019-07-22
213,HAS,NaN,NaN
214,HBAN,NaN,NaN
215,HBI,NaN,NaN
216,HCA,NaN,NaN
217,HD,TAS,2019-08-20
218,HES,NaN,NaN
219,HFC,NaN,NaN
220,HIG,NaN,NaN
221,HII,NaN,NaN
222,HLT,NaN,NaN
223,HOG,NaN,NaN
224,HOLX,NaN,NaN
225,HON,TAS,2019-07-18
226,HP,TAS,2019-07-24
227,HPE,TAS,2019-08-27
228,HPQ,TAS,2019-08-22
229,HRB,TAS,2019-08-28
230,HRL,TAS,2019-08-22
231,HSIC,NaN,NaN
232,HST,NaN,NaN
233,HSY,NaN,NaN
234,HUM,NaN,NaN
235,HWM,NaN,NaN
236,IBM,TAS,2019-07-17
237,ICE,NaN,NaN
238,IDXX,NaN,NaN
239,IEX,NaN,NaN
240,IFF,NaN,NaN
241,ILMN,Multi,Multi
242,INCY,NaN,NaN
243,INFO,TAS,2019-09-24
244,INTC,NaN,NaN
245,INTU,TAS,2019-08-22
246,IP,NaN,NaN
247,IPG,TAS,2019-07-23
248,IPGP,NaN,NaN
249,IQV,NaN,NaN
250,IR,NaN,NaN
251,IRM,NaN,NaN
252,ISRG,TAS,2019-07-18
253,IT,NaN,NaN
254,ITW,TAS,2019-07-26
255,IVZ,NaN,NaN
256,J,NaN,NaN
257,JBHT,TAS,2019-07-15
258,JCI,NaN,NaN
259,JKHY,TAS,2019-08-20
260,JNJ,TAS,2019-07-16
261,JNPR,NaN,NaN
262,JPM,TAS,2019-07-16
263,JWN,TAS,2019-08-21
264,K,NaN,NaN
265,KEY,NaN,NaN
266,KEYS,TAS,2019-08-21
267,KHC,TAS,2019-08-13
268,KIM,NaN,NaN
269,KLAC,TAS,2019-08-05
270,KMB,TAS,2019-07-23
271,KMI,TAS,2019-07-17
272,KMX,TAS,2019-09-24
273,KO,TAS,2019-07-23
274,KR,TAS,2019-09-12
275,KSS,TAS,2019-08-20
276,KSU,TAS,2019-07-19
277,L,Before Market Open,2019-08-05
278,LB,TAS,2019-08-21
279,LDOS,NaN,NaN
280,LEG,NaN,NaN
281,LEN,NaN,NaN
282,LH,TAS,2019-07-25
283,LHX,NaN,NaN
284,LIN,NaN,NaN
285,LKQ,TAS,2019-07-25
286,LLY,TAS,2019-07-30
287,LMT,TAS,2019-07-23
288,LNC,TAS,2019-07-31
289,LNT,TAS,2019-08-01
290,LOW,TAS,2019-08-21
291,LRCX,NaN,NaN
292,LUV,TAS,2019-07-25
293,LVS,TAS,2019-07-24
294,LW,NaN,NaN
295,LYB,Before Market Open,2019-08-02
296,LYV,NaN,NaN
297,MA,NaN,NaN
298,MAA,TAS,2019-07-31
299,MAR,NaN,NaN
300,MAS,NaN,NaN
301,MCD,TAS,2019-07-26
302,MCHP,NaN,NaN
303,MCK,NaN,NaN
304,MCO,NaN,NaN
305,MDLZ,NaN,NaN
306,MDT,TAS,2019-08-20
307,MET,NaN,NaN
308,MGM,NaN,NaN
309,MHK,NaN,NaN
310,MKC,NaN,NaN
311,MKTX,NaN,NaN
312,MLM,NaN,NaN
313,MMC,NaN,NaN
314,MMM,TAS,2019-07-25
315,MNST,TAS,2019-08-07
316,MO,TAS,2019-07-30
317,MOS,NaN,NaN
318,MPC,NaN,NaN
319,MRK,TAS,2019-07-30
320,MRO,NaN,NaN
321,MS,TAS,2019-07-18
322,MSCI,NaN,NaN
323,MSFT,TAS,2019-07-18
324,MSI,NaN,NaN
325,MTB,TAS,2019-07-18
326,MTD,NaN,NaN
327,MU,TAS,2019-09-26
328,MXIM,NaN,NaN
329,MYL,NaN,NaN
330,NBL,TAS,2019-08-02
331,NCLH,NaN,NaN
332,NDAQ,NaN,NaN
333,NEE,NaN,NaN
334,NEM,NaN,NaN
335,NFLX,TAS,2019-07-17
336,NI,NaN,NaN
337,NKE,TAS,2019-09-24
338,NLOK,NaN,NaN
339,NLSN,NaN,NaN
340,NOC,NaN,NaN
341,NOV,TAS,2019-07-29
342,NOW,NaN,NaN
343,NRG,NaN,NaN
344,NSC,TAS,2019-07-24
345,NTAP,NaN,NaN
346,NTRS,TAS,2019-07-24
347,NUE,TAS,2019-07-18
348,NVDA,TAS,2019-08-15
349,NVR,TAS,2019-07-19
350,NWL,TAS,2019-08-02
351,NWS,NaN,NaN
352,NWSA,NaN,NaN
353,O,TAS,2019-08-05
354,ODFL,NaN,NaN
355,OKE,NaN,NaN
356,OMC,TAS,2019-07-17
357,ORCL,TAS,2019-09-11
358,ORLY,TAS,2019-07-24
359,OTIS,NaN,NaN
360,OXY,TAS,2019-07-31
361,PAYC,NaN,NaN
362,PAYX,NaN,NaN
363,PBCT,TAS,2019-07-18
364,PCAR,NaN,NaN
365,PEAK,NaN,NaN
366,PEG,NaN,NaN
367,PEP,TAS,2019-07-09
368,PFE,NaN,NaN
369,PFG,NaN,NaN
370,PG,TAS,2019-07-30
371,PGR,Multi,Multi
372,PH,TAS,2019-08-01
373,PHM,NaN,NaN
374,PKG,TAS,2019-07-24
375,PKI,NaN,NaN
376,PLD,TAS,2019-07-15
377,PM,TAS,2019-07-18
378,PNC,TAS,2019-07-17
379,PNR,NaN,NaN
380,PNW,NaN,NaN
381,PPG,TAS,2019-07-18
382,PPL,NaN,NaN
383,PRGO,NaN,NaN
384,PRU,NaN,NaN
385,PSA,NaN,NaN
386,PSX,TAS,2019-07-26
387,PVH,TAS,2019-08-28
388,PWR,NaN,NaN
389,PXD,NaN,NaN
390,PYPL,NaN,NaN
391,QCOM,NaN,NaN
392,QRVO,NaN,NaN
393,RCL,TAS,2019-07-25
394,RE,TAS,2019-07-29
395,REG,TAS,2019-08-01
396,REGN,NaN,NaN
397,RF,TAS,2019-07-19
398,RHI,NaN,NaN
399,RJF,NaN,NaN
400,RL,NaN,NaN
401,RMD,NaN,NaN
402,ROK,TAS,2019-07-25
403,ROL,NaN,NaN
404,ROP,NaN,NaN
405,ROST,TAS,2019-08-22
406,RSG,NaN,NaN
407,RTX,NaN,NaN
408,SBAC,TAS,2019-07-29
409,SBUX,NaN,NaN
410,SCHW,Before Market Open,2019-07-16
411,SEE,TAS,2019-08-02
412,SHW,TAS,2019-07-23
413,SIVB,NaN,NaN
414,SJM,TAS,2019-08-27
415,SLB,TAS,2019-07-19
416,SLG,TAS,2019-07-17
417,SNA,TAS,2019-07-18
418,SNPS,TAS,2019-08-21
419,SO,NaN,NaN
420,SPG,Before Market Open,2019-07-29
421,SPGI,NaN,NaN
422,SRE,TAS,2019-08-02
423,STE,NaN,NaN
424,STT,TAS,2019-07-19
425,STX,TAS,2019-08-02
426,STZ,NaN,NaN
427,SWK,TAS,2019-07-23
428,SWKS,NaN,NaN
429,SYF,TAS,2019-07-19
430,SYK,NaN,NaN
431,SYY,TAS,2019-08-12
432,T,TAS,2019-07-24
433,TAP,Before Market Open,2019-07-31
434,TDG,NaN,NaN
435,TEL,NaN,NaN
436,TFC,NaN,NaN
437,TFX,NaN,NaN
438,TGT,TAS,2019-08-21
439,TIF,TAS,2019-08-28
440,TJX,TAS,2019-08-20
441,TMO,NaN,NaN
442,TMUS,NaN,NaN
443,TPR,TAS,2019-08-15
444,TROW,NaN,NaN
445,TRV,TAS,2019-07-23
446,TSCO,TAS,2019-07-25
447,TSN,NaN,NaN
448,TT,NaN,NaN
449,TTWO,NaN,NaN
450,TWTR,TAS,2019-07-26
451,TXN,NaN,NaN
452,TXT,TAS,2019-07-17
453,UA,NaN,NaN
454,UAA,TAS,2019-07-30
455,UAL,After Market Close,2019-07-16
456,UDR,NaN,NaN
457,UHS,NaN,NaN
458,ULTA,TAS,2019-08-29
459,UNH,TAS,2019-07-18
460,UNM,NaN,NaN
461,UNP,TAS,2019-07-18
462,UPS,NaN,NaN
463,URI,TAS,2019-07-17
464,USB,TAS,2019-07-17
465,V,NaN,NaN
466,VAR,NaN,NaN
467,VFC,NaN,NaN
468,VIAC,NaN,NaN
469,VLO,NaN,NaN
470,VMC,NaN,NaN
471,VNO,NaN,NaN
472,VRSK,TAS,2019-07-30
473,VRSN,NaN,NaN
474,VRTX,NaN,NaN
475,VTR,TAS,2019-07-26
476,VZ,NaN,NaN
477,WAB,TAS,2019-07-30
478,WAT,NaN,NaN
479,WBA,NaN,NaN
480,WDC,TAS,2019-07-31
481,WEC,NaN,NaN
482,WELL,NaN,NaN
483,WFC,TAS,2019-07-16
484,WHR,TAS,2019-07-22
485,WLTW,NaN,NaN
486,WM,NaN,NaN
487,WMB,NaN,NaN
488,WMT,TAS,2019-08-15
489,WRB,TAS,2019-07-23
490,WRK,NaN,NaN
491,WU,TAS,2019-08-01
492,WY,TAS,2019-07-26
493,WYNN,NaN,NaN
494,XEL,NaN,NaN
495,XLNX,NaN,NaN
496,XOM,TAS,2019-08-02
497,XRAY,TAS,2019-08-02
498,XRX,NaN,NaN
499,XYL,NaN,NaN
500,YUM,TAS,2019-08-01
501,ZBH,TAS,2019-07-26
502,ZBRA,NaN,NaN
503,ZION,TAS,2019-07-22
504,ZTS,NaN,NaN
