,Symbol,2019Q4 Time,2019Q4 Date
265,KEY,TAS,2019-10-17
266,KEYS,TAS,2019-11-26
267,KHC,NaN,NaN
268,KIM,NaN,NaN
269,KLAC,NaN,NaN
270,KMB,TAS,2019-10-22
271,KMI,TAS,2019-10-16
272,KMX,TAS,2019-12-20
273,KO,TAS,2019-10-18
274,KR,TAS,2019-12-05
275,KSS,TAS,2019-11-19
276,KSU,TAS,2019-10-18
277,L,Before Market Open,2019-10-28
278,LB,TAS,2019-11-20
279,LDOS,NaN,NaN
280,LEG,NaN,NaN
281,LEN,Before Market Open,2019-10-02
282,LH,TAS,2019-10-24
283,LHX,NaN,NaN
284,LIN,NaN,NaN
285,LKQ,TAS,2019-10-31
286,LLY,TAS,2019-10-23
287,LMT,TAS,2019-10-22
288,LNC,TAS,2019-10-30
289,LNT,TAS,2019-11-06
290,LOW,TAS,2019-11-20
291,LRCX,NaN,NaN
292,LUV,TAS,2019-10-24
293,LVS,TAS,2019-10-23
294,LW,TAS,2019-10-02
295,LYB,Before Market Open,2019-11-01
296,LYV,NaN,NaN
297,MA,NaN,NaN
298,MAA,TAS,2019-10-30
299,MAR,NaN,NaN
300,MAS,NaN,NaN
301,MCD,TAS,2019-10-22
302,MCHP,NaN,NaN
303,MCK,NaN,NaN
304,MCO,NaN,NaN
305,MDLZ,NaN,NaN
306,MDT,TAS,2019-11-19
307,MET,NaN,NaN
308,MGM,NaN,NaN
309,MHK,NaN,NaN
310,MKC,TAS,2019-10-01
311,MKTX,NaN,NaN
312,MLM,NaN,NaN
313,MMC,TAS,2019-10-29
314,MMM,TAS,2019-10-24
315,MNST,TAS,2019-11-07
316,MO,TAS,2019-10-31
317,MOS,NaN,NaN
318,MPC,TAS,2019-10-31
319,MRK,TAS,2019-10-29
320,MRO,NaN,NaN
321,MS,TAS,2019-10-17
322,MSCI,NaN,NaN
323,MSFT,NaN,NaN
324,MSI,NaN,NaN
325,MTB,TAS,2019-10-17
326,MTD,NaN,NaN
327,MU,TAS,2019-12-18
328,MXIM,NaN,NaN
329,MYL,NaN,NaN
330,NBL,NaN,NaN
331,NCLH,NaN,NaN
332,NDAQ,NaN,NaN
333,NEE,Before Market Open,2019-10-22
334,NEM,NaN,NaN
335,NFLX,TAS,2019-10-16
336,NI,NaN,NaN
337,NKE,TAS,2019-12-19
338,NLOK,NaN,NaN
339,NLSN,NaN,NaN
340,NOC,NaN,NaN
341,NOV,NaN,NaN
342,NOW,NaN,NaN
343,NRG,NaN,NaN
344,NSC,NaN,NaN
345,NTAP,NaN,NaN
346,NTRS,Before Market Open,2019-10-15
347,NUE,TAS,2019-10-21
348,NVDA,TAS,2019-11-14
349,NVR,TAS,2019-10-18
350,NWL,TAS,2019-11-01
351,NWS,NaN,NaN
352,NWSA,NaN,NaN
353,O,TAS,2019-11-04
354,ODFL,NaN,NaN
355,OKE,NaN,NaN
356,OMC,TAS,2019-10-15
357,ORCL,TAS,2019-12-12
358,ORLY,TAS,2019-10-23
359,OTIS,NaN,NaN
360,OXY,After Market Close,2019-11-04
361,PAYC,NaN,NaN
362,PAYX,Multi,Multi
363,PBCT,After Market Close,2019-10-17
364,PCAR,NaN,NaN
365,PEAK,NaN,NaN
366,PEG,NaN,NaN
367,PEP,Before Market Open,2019-10-03
368,PFE,NaN,NaN
369,PFG,NaN,NaN
370,PG,TAS,2019-10-22
371,PGR,Multi,Multi
372,PH,TAS,2019-10-31
373,PHM,NaN,NaN
374,PKG,TAS,2019-10-23
375,PKI,NaN,NaN
376,PLD,TAS,2019-10-15
377,PM,TAS,2019-10-17
378,PNC,TAS,2019-10-16
379,PNR,NaN,NaN
380,PNW,NaN,NaN
381,PPG,TAS,2019-10-17
382,PPL,NaN,NaN
383,PRGO,NaN,NaN
384,PRU,NaN,NaN
385,PSA,NaN,NaN
386,PSX,TAS,2019-10-25
387,PVH,TAS,2019-11-25
388,PWR,NaN,NaN
389,PXD,TAS,2019-11-04
390,PYPL,NaN,NaN
391,QCOM,NaN,NaN
392,QRVO,NaN,NaN
393,RCL,TAS,2019-10-30
394,RE,TAS,2019-10-28
395,REG,TAS,2019-10-30
396,REGN,NaN,NaN
397,RF,TAS,2019-10-22
398,RHI,NaN,NaN
399,RJF,NaN,NaN
400,RL,NaN,NaN
401,RMD,NaN,NaN
402,ROK,TAS,2019-11-12
403,ROL,NaN,NaN
404,ROP,NaN,NaN
405,ROST,TAS,2019-11-21
406,RSG,NaN,NaN
407,RTX,NaN,NaN
408,SBAC,TAS,2019-10-28
409,SBUX,NaN,NaN
410,SCHW,TAS,2019-10-15
411,SEE,TAS,2019-11-06
412,SHW,TAS,2019-10-22
413,SIVB,NaN,NaN
414,SJM,TAS,2019-11-22
415,SLB,TAS,2019-10-18
416,SLG,TAS,2019-10-16
417,SNA,TAS,2019-10-17
418,SNPS,TAS,2019-12-04
419,SO,NaN,NaN
420,SPG,NaN,NaN
421,SPGI,NaN,NaN
422,SRE,TAS,2019-11-01
423,STE,NaN,NaN
424,STT,TAS,2019-10-18
425,STX,TAS,2019-11-01
426,STZ,TAS,2019-10-03
427,SWK,TAS,2019-10-24
428,SWKS,NaN,NaN
429,SYF,TAS,2019-10-18
430,SYK,TAS,2019-10-29
431,SYY,TAS,2019-11-04
432,T,TAS,2019-10-28
433,TAP,Before Market Open,2019-10-30
434,TDG,Before Market Open,2019-11-19
435,TEL,NaN,NaN
436,TFC,TAS,2019-10-17
437,TFX,NaN,NaN
438,TGT,TAS,2019-11-20
439,TIF,TAS,2019-12-05
440,TJX,TAS,2019-11-19
441,TMO,NaN,NaN
442,TMUS,NaN,NaN
443,TPR,NaN,NaN
444,TROW,NaN,NaN
445,TRV,TAS,2019-10-22
446,TSCO,TAS,2019-10-24
447,TSN,NaN,NaN
448,TT,NaN,NaN
449,TTWO,NaN,NaN
450,TWTR,NaN,NaN
451,TXN,NaN,NaN
452,TXT,TAS,2019-10-17
453,UA,NaN,NaN
454,UAA,TAS,2019-11-04
455,UAL,TAS,2019-10-15
456,UDR,NaN,NaN
457,UHS,NaN,NaN
458,ULTA,TAS,2019-12-05
459,UNH,TAS,2019-10-15
460,UNM,NaN,NaN
461,UNP,TAS,2019-10-17
462,UPS,NaN,NaN
463,URI,TAS,2019-10-16
464,USB,TAS,2019-10-16
465,V,NaN,NaN
466,VAR,NaN,NaN
467,VFC,TAS,2019-10-25
468,VIAC,NaN,NaN
469,VLO,NaN,NaN
470,VMC,NaN,NaN
471,VNO,TAS,2019-10-14
472,VRSK,TAS,2019-10-29
473,VRSN,NaN,NaN
474,VRTX,NaN,NaN
475,VTR,TAS,2019-10-25
476,VZ,TAS,2019-10-25
477,WAB,TAS,2019-10-31
478,WAT,NaN,NaN
479,WBA,TAS,2019-10-28
480,WDC,TAS,2019-10-30
481,WEC,NaN,NaN
482,WELL,NaN,NaN
483,WFC,TAS,2019-10-15
484,WHR,TAS,2019-10-22
485,WLTW,NaN,NaN
486,WM,NaN,NaN
487,WMB,NaN,NaN
488,WMT,NaN,NaN
489,WRB,TAS,2019-10-22
490,WRK,NaN,NaN
491,WU,TAS,2019-10-31
492,WY,TAS,2019-10-25
493,WYNN,NaN,NaN
494,XEL,NaN,NaN
495,XLNX,NaN,NaN
496,XOM,TAS,2019-11-01
497,XRAY,NaN,NaN
498,XRX,After Market Close,2019-10-21
499,XYL,NaN,NaN
500,YUM,TAS,2019-10-30
501,ZBH,TAS,2019-11-05
502,ZBRA,NaN,NaN
503,ZION,After Market Close,2019-10-21
504,ZTS,NaN,NaN
